15  21
28  26

28  26
38  34

38  34
28  26

28  26
15  21

26  23
20  7

20  7
15  21

29  12
35  5

35  5
37  17

37  17
28  26

29  12
20  7

33  15
35  5

29  12
20  7

20  7
15  21

15  21
28  26

28  26
38  34

38  34
28  26

28  26
15  21

15  21
20  7

20  7
29  12

28  26
37  17

37  17
35  5

35  5
29  12

26  23
20  7

33  15
35  5

29  12
35  5

35  5
37  17

37  17
28  26

28  26
38  34

38  34
28  26

28  26
15  21

15  21
20  7

20  7
29  12

28  26
37  17

37  17
35  5

35  5
29  12

26  23
20  7

33  15
35  5

15  21
28  26

28  26
38  34

38  34
28  26

28  26
15  21

26  23
20  7

20  7
15  21

29  12
35  5

35  5
37  17

37  17
28  26

29  12
20  7

33  15
35  5

29  12
20  7

20  7
15  21

15  21
28  26

28  26
38  34

38  34
28  26

28  26
15  21

15  21
20  7

20  7
29  12

28  26
37  17

37  17
35  5

35  5
29  12

26  23
20  7

33  15
35  5

29  12
35  5

35  5
37  17

37  17
28  26

28  26
38  34

38  34
28  26

28  26
15  21

15  21
20  7

20  7
29  12

28  26
37  17

37  17
35  5

35  5
29  12

26  23
20  7

33  15
35  5

